"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Fix Versions","Affect Versions","Area","Milestone","Date Opened","Project","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases","Status"
"Bug","34675","SF:140035, Page Display Issue - Prices Not Showing in DSR","0","Medium","App Support","33431","25.2","","Digital Showroom","","11/06/15 04:21 PM","007:MAX","Bill Rogalla","140035","","0","Graham Smith","0","0","12/21/15 06:24 PM","12/23/15 08:41 PM","","Closed (Not Reproducible)"
"Bug","34678","SF:139651, Nissan Autoload-Prolonged Delay","0","Medium","App Support","","Undecided","","AutoLoad","","11/06/15 09:20 PM","007:MAX","Bill Rogalla","139651","","0","Bill Rogalla","0","0","12/01/15 08:00 PM","12/01/15 08:00 PM","","Closed (Fixed)"
"Task","34681","Pricing Summary Page should Replace Pricing Analyzer","0","Medium","Shailesh Panchal","","25.1","","Pricing","","11/06/15 10:20 PM","007:MAX","Michelle Clay","","","0","Shailesh Panchal","0","0","11/17/15 04:46 PM","11/19/15 10:48 AM","","Closed (Verified)"
"Internal Defect","34686","Max: 25.1 Failing Integration Tests","0","Medium","Tim Muir","","25.1","","Services","","11/09/15 05:13 PM","007:MAX","Tim Muir","","","0","Tim Muir","0","0","11/17/15 05:00 PM","11/19/15 07:14 PM","","Closed (Verified)"
"Task","34691","Move Print Window Sticker link to right of VEHICLE HISTORY REPORT (VHR)","0","Medium","Shailesh Panchal","","25.1.1","","Pricing","","11/09/15 07:16 PM","007:MAX","Michelle Clay","","","0","Shailesh Panchal","0","0","11/30/15 08:30 AM","12/02/15 10:58 AM","34863,34864,34866,","Closed (Verified)"
"Task","34692","Make top navigation one line versus two","0","Medium","Tim Muir","","25.1.1","","Pricing","","11/09/15 07:17 PM","007:MAX","Michelle Clay","","","0","Tim Muir","0","0","11/30/15 08:30 PM","12/03/15 05:42 PM","","Closed (Verified)"
"Task","34693","Update equipment section ","0","Medium","Advait Gupte","","25.1.1","","Pricing","","11/09/15 07:17 PM","007:MAX","Michelle Clay","","","0","Advait Gupte","0","0","11/30/15 04:45 PM","12/02/15 12:24 PM","","Closed (Verified)"
"Task","34694","Update column widths in the market listings table","0","Medium","Tim Muir","","25.2","","Pricing","","11/09/15 07:20 PM","007:MAX","Michelle Clay","","","0","Tim Muir","0","0","12/17/15 09:17 PM","12/23/15 06:06 PM","","Closed (Verified)"
"Bug","34695","Profit Max:  STA when trying to get to the profit max page for 2014 Hyundais ","0","High","Shailesh Panchal","","25.1","","Max Ad","","11/09/15 07:58 PM","007:MAX","Christopher Norton","","","0","Shailesh Panchal","0","0","11/16/15 03:07 PM","11/19/15 10:45 AM","","Closed (Verified)"
"Bug","34696","SF:140294, DSR reporting for Modesto Subaru Not Working","0","Medium","App Support","","25.1","","Reports","","11/09/15 09:54 PM","007:MAX","Bill Rogalla","140294","","0","Michelle Clay","0","0","11/13/15 05:19 PM","12/01/15 08:03 PM","","Closed (Fixed)"
