"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Fix Versions","Affect Versions","Area","Milestone","Date Opened","Project","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases","Status"
"Bug","272","Regression: MAX - Archived Workbooks (in PDF Format) not available","","Medium","Simon Wenmouth","","V5_15_01 Bugfix","","Engineering","","03/05/08 10:18 PM","007:MAX","Chris Fant","","03/11/08 10:00 PM","","Chris Fant","0","0","03/11/08 06:23 PM","03/11/08 06:23 PM","","Closed (Fixed)"
"Bug","274","Regression: MAX - Reports Missing (no data at link)","","Medium","Simon Wenmouth","","V5_15_01 Bugfix","","Engineering","","03/05/08 11:44 PM","007:MAX","Chris Fant","","","","Simon Wenmouth","0","0","03/06/08 04:05 PM","03/06/08 07:50 PM","","Closed (Not Reproducible)"
"Bug","282","Regression - MAX - PMR should open in a new popup window.","","Ground Level","Tuan Bui","","V5_15_01 Bugfix","","Engineering","","03/06/08 11:35 PM","007:MAX","Brian Nguyen","","","","Tuan Bui","2","2","03/10/08 11:12 PM","03/11/08 06:53 PM","","Closed (Fixed)"
"Feature","352","Remove email notification of Ops when Appraisal Review Generator send back a 404","","Medium","Simon Wenmouth","","Undecided","","Engineering","","03/12/08 08:25 AM","007:MAX","Krishna Kumar","","03/12/08 11:00 PM","","Krishna Kumar","0","0","03/14/08 11:54 AM","03/14/08 11:54 AM","","Closed (Already Exists)"
"Feature","443","MAX: Timed Cache of Search Engine Results","","Medium","Krishna Kumar","","Undecided","","Engineering","","03/19/08 05:37 PM","007:MAX","Simon Wenmouth","","","","Krishna Kumar","2","2","03/25/08 09:41 PM","03/25/08 09:41 PM","","Closed (Responded)"
"Bug","474","Regression - MAX & NEXTGEN - FLSER - Result report is missing the Insight ranking labels for POWERZONE/GOODBET","","High","Agam Patel","","v5_15_02_BugFix","","Engineering","","03/20/08 10:32 PM","007:MAX","Brian Nguyen","","","","Agam Patel","1","1","03/24/08 05:25 PM","03/25/08 07:01 PM","","Closed (Fixed)"
"Bug","475","Regression - MAX - FLSER - DPP [FL50703] error occurred when user attempt to edit a record option.","","Medium","Agam Patel","","v5_15_02_BugFix","","Engineering","","03/20/08 10:47 PM","007:MAX","Brian Nguyen","","","","Agam Patel","3","3","03/24/08 03:27 PM","03/25/08 07:21 PM","","Closed (Not Reproducible)"
"Bug","499","Regression - MAX/Homepage - An application error occurred.","","Ground Level","Benson Fung","","V5_16_05","","Engineering","","03/24/08 06:01 PM","007:MAX","Brian Nguyen","","","","Benson Fung","0.75","0.75","06/10/08 11:37 PM","07/09/08 08:45 PM","","Closed (Fixed)"
"Bug","526","MAX - ""Application Error"" on Appraisal Summary","","Medium","Simon Wenmouth","","V5_16_01","","Engineering","","03/25/08 09:26 PM","007:MAX","Chris Fant","","","","Chris Fant","5","5","06/02/08 04:15 PM","06/02/08 04:15 PM","","Closed (Fixed)"
"Feature","528","FW: Image Caching for MAX","","not in use","Brian Nguyen","","v5_15_02_BugFix","","Engineering","","03/25/08 09:51 PM","007:MAX","App Support","","","","Benson Fung","0","0","03/25/08 10:00 PM","03/25/08 10:40 PM","","Closed (Implemented)"
"Feature","591","Disable live data loads for Purchasing and Max Mouth on the home page.","","Critical","Simon Wenmouth","","Hotfix","","Engineering","","03/29/08 01:41 PM","007:MAX","Krishna Kumar","","03/31/08 05:00 PM","","Simon Wenmouth","0","0","03/31/08 07:05 PM","04/02/08 12:18 PM","","Closed (Implemented)"
"Bug","681","Cannot Navigate to IMT Reports (Inventory Manager) from MAX --> IMP workflow","","Medium","Chris Fant","","V5_16_00","","Engineering","","04/09/08 07:22 PM","007:MAX","Andy Carlson","","","","Benson Fung","0","0","04/11/08 05:19 PM","04/14/08 04:16 PM","","Closed (Fixed)"
