"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Fix Versions","Affect Versions","Area","Milestone","Date Opened","Project","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases","Status"
"Feature","19026","Remove Stale Announcement in FirstLook Login Page","","Low","V-IMS-Engineers","","301 : Incisent Corporate Websites","Undecided","FirstLook-MAX Login Page","","12/12/11 06:52 PM","301:Incisent Corporate Websites","Chris Bennett","","","0","","0","0","","","","Active (Ready for Work)"
"Feature","19045","Add Bios to FirstLookSystems.com","","Low","Joy Wilson","bennett","301 : Incisent Corporate Websites","Undecided","FirstLook Systems Website","","12/13/11 02:41 PM","301:Incisent Corporate Websites","Chris Bennett","","","0","Paul Monson","0","0","12/14/11 03:09 AM","","","Resolved (Implemented)"
"Task","17747","About FirstLook Page - Remove Former Employee References ","","High","Joy Wilson","bennett","301 : Incisent Corporate Websites","Hotfix","FirstLook Systems Website","","09/23/11 08:00 PM","301:Incisent Corporate Websites","Chris Bennett","","","0","Paul Monson","0","0","09/25/11 09:46 PM","04/29/15 07:56 PM","","Closed (Completed)"
"Task","17750","Remove Former Employee References from MAX ","","High","Joy Wilson","bennett","301 : Incisent Corporate Websites","Hotfix","MAX Ad Systems Website","","09/24/11 03:22 PM","301:Incisent Corporate Websites","Chris Bennett","","","0","Paul Monson","0","0","09/25/11 09:46 PM","04/29/15 07:56 PM","","Closed (Completed)"
"Task","18332","FirstLook Website--update rotating image on homepage","","Low","Lisa Schuble","","301 : Incisent Corporate Websites","Hotfix","FirstLook Systems Website","","10/28/11 08:23 PM","301:Incisent Corporate Websites","Lisa Schuble","","","0","Marc Holubow","0","0","12/12/11 09:14 PM","11/04/13 06:15 PM","","Closed (Completed)"
