"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Fix Versions","Affect Versions","Area","Milestone","Date Opened","Project","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases","Status"
"Internal Defect","35728"," Pricing Campaigns: Campaign name display is too small for most current campaigns","0","Medium","Shailesh Panchal","","First Look - MAX Digital","New Car Tool","New Car","","02/15/16 07:06 PM","002:FLM","Christopher Norton","","","0","Shailesh Panchal","0","0","02/19/16 04:09 PM","05/20/16 11:34 AM","","Closed (Verified)"
"Internal Defect","35729","Pricing Campaigns: View and Edit Table - Campaign Inclusion Toggle Click Area","0","Medium","Inderjeet Singh","","First Look - MAX Digital","New Car Tool","New Car","","02/15/16 07:21 PM","002:FLM","Tim Muir","","","0","Inderjeet Singh","0","0","05/23/16 11:40 AM","05/23/16 11:40 AM","","Closed (Verified)"
"Task","35730","Active Pricing Campaigns: Campaign name width is too small","0","Medium","Abhishek Kumar","","First Look - MAX Digital","New Car Tool","New Car","","02/15/16 07:50 PM","002:FLM","Christopher Norton","","","0","Abhishek Kumar","0","0","05/23/16 10:34 AM","05/23/16 10:34 AM","","Closed (Verified)"
"Internal Defect","35731","Pricing Campaigns: View and Edit Table - Flag Missing","0","Medium","Tim Muir","","First Look - MAX Digital","New Car Tool","New Car","","02/15/16 08:04 PM","002:FLM","Tim Muir","","","0","Tim Muir","0","0","02/29/16 07:02 PM","05/23/16 01:40 PM","","Closed (Verified)"
"Internal Defect","35732","Pricing Campaign: Lose radio button default when switching between discount types","0","Medium","Inderjeet Singh","","First Look - MAX Digital","New Car Tool","New Car","","02/15/16 08:31 PM","002:FLM","Christopher Norton","","","0","Inderjeet Singh","0","0","05/23/16 11:48 AM","05/23/16 11:48 AM","","Closed (Verified)"
"Task","35733","Pricing Campaign: Should we include cars that have been excluded in the past to show that they were excluded from this campaign","0","Medium","Monisha Lakshamana","","First Look - MAX Digital","New Car Tool","New Car","","02/15/16 08:35 PM","002:FLM","Christopher Norton","","","0","Monisha Lakshamana","0","0","05/23/16 02:40 PM","05/23/16 02:40 PM","","Closed (Verified)"
"Feature","35734","SF:151800, ProfitMAX enhancement request-selling notes need to be re-added- Faulkner Automotive Group","3","Medium","App Support","","First Look - MAX Digital","27.2","Profit MAX","","02/15/16 08:35 PM","002:FLM","Bill Rogalla","151800","","0","Daniel Hillis","14","40","06/07/16 04:19 PM","07/05/16 03:14 PM","","Closed (Verified)"
"Internal Defect","35735","Pricing Campaign: Select All should be checked by default","0","Ground Level","Christopher Norton","","First Look - MAX Digital","New Car Tool","New Car","","02/15/16 08:38 PM","002:FLM","Christopher Norton","","","0","Mukesh Khankari","0","0","05/02/16 02:47 AM","05/20/16 03:56 PM","","Closed (Verified)"
"Internal Defect","35736","Pricing Campaigns: Remove Adjusted Base Price Column from the View and Edit table when Chrome Incentives is turned off","0","Ground Level","Monisha Lakshamana","","First Look - MAX Digital","New Car Tool","New Car","","02/15/16 08:51 PM","002:FLM","Michelle Clay","","","0","Monisha Lakshamana","3","3","05/20/16 08:02 AM","05/20/16 08:02 AM","","Closed (Verified)"
"Internal Defect","35737","Active Pricing Campaigns: MSRP should be capitalized","0","Medium","Inna Tulika","","First Look - MAX Digital","New Car Tool","New Car","","02/15/16 08:56 PM","002:FLM","Christopher Norton","","","0","Inna Tulika","0","0","02/24/16 07:59 PM","05/23/16 02:50 PM","","Closed (Verified)"
