"Category","Case","Title","Story Points","Priority","Assigned To","Tags","Fix Versions","Affect Versions","Area","Milestone","Date Opened","Project","Opened By","Salesforce Case","Due Date","HotFix","Resolved By","Original Estimate","Current Estimate","Date Resolved","Date Closed","Subcases","Status"
"Bug","10438","SF:33522, P2, Ping II Overpriced Alert - Click on HyperLinks embedded produces Error - Page Not found","","Planning","Chris Fant","dbo-team","Salesforce Cases","Undecided","001:Appraisal Center","","05/03/10 09:01 PM","000:Salesforce Cases","Satwinder Kahlon","","","0","Chris Fant","0","0","06/30/10 02:51 PM","06/30/10 02:58 PM","","Closed (Fixed)"
"Inquiry","10472","(Untitled)","","Medium","App Support","","Salesforce Cases","Undecided","001:Appraisal Center","","05/05/10 03:14 PM","000:Salesforce Cases","Scott Markland","","","0","Chris Fant","0","0","05/05/10 05:59 PM","05/05/10 05:59 PM","","Closed (SPAM)"
"Bug","10474","SF:33001, P1, Carfax: Hot Listing Checkbox showing Unselected","","Medium","App Support","dbo-team","Salesforce Cases","Undecided","001:Appraisal Center","","05/05/10 04:12 PM","000:Salesforce Cases","Satwinder Kahlon","","","0","Magdalena Kipiniak","0","0","05/06/10 09:50 PM","05/07/10 03:00 PM","","Closed (By Design)"
"Bug","10477","SF:33577, P2, Highlights Ad - KBB Equipment options not separated by Commas","","Ground Level","Chris Fant","app_team","Salesforce Cases","V5_18_07","002:Inventory Mgmt Tools","","05/05/10 06:28 PM","000:Salesforce Cases","Satwinder Kahlon","","","0","Chris Fant","0","0","06/17/10 02:57 PM","06/28/10 08:59 PM","","Closed (Verified)"
"Bug","10478","SF:33530, P1, Ping II - Rank Numbers Do Not Match with Search Results","","Medium","App Support","","Salesforce Cases","Undecided","002:Inventory Mgmt Tools","","05/05/10 06:35 PM","000:Salesforce Cases","Satwinder Kahlon","","","0","Devang Maniar","0","0","05/11/10 04:48 PM","05/11/10 05:21 PM","","Closed (By Design)"
"Bug","10479","Cadillac AWD - Modify Search doesn't update Precision Search Results","","Medium","Chris Fant","","Salesforce Cases","Undecided","002:Inventory Mgmt Tools","","05/05/10 07:19 PM","000:Salesforce Cases","Devang Maniar","","","0","Chris Fant","0","0","05/11/10 05:21 PM","05/11/10 05:21 PM","","Closed (By Design)"
"Bug","10480","Cadillac - Precision Results doesn't update for Trade Analyzer","","Medium","Chris Fant","","Salesforce Cases","Undecided","002:Inventory Mgmt Tools","","05/05/10 07:28 PM","000:Salesforce Cases","Devang Maniar","","","0","Chris Fant","0","0","05/11/10 05:23 PM","05/11/10 05:23 PM","","Closed (By Design)"
"Bug","10516","SF:33532, P1, Precision Results - Results not matching based on trim selection Toyota Camry (LE, XLE, SE)","","High","App Support","dbo-team","Salesforce Cases","Undecided","004:Pricing Tools","","05/10/10 07:29 PM","000:Salesforce Cases","Satwinder Kahlon","","","0","Magdalena Kipiniak","0","0","06/17/10 09:22 PM","06/21/10 03:18 PM","","Closed (By Design)"
"Bug","10517","SF:33644, P3, E-stock Card - Typo Error on the word Certifed","","not in use","Chris Fant","","Salesforce Cases","V5_18_07","002:Inventory Mgmt Tools","","05/10/10 07:45 PM","000:Salesforce Cases","Satwinder Kahlon","","","0","Chris Fant","0","0","06/16/10 03:53 PM","06/28/10 09:00 PM","","Closed (Verified)"
"Bug","10521","SF:33692, P1, NADA - Mileage Adjustment Values Off (2009 Chevy HHR)","","Medium","Chris Fant","","Salesforce Cases","V5_18_07","002:Inventory Mgmt Tools","","05/10/10 08:55 PM","000:Salesforce Cases","Devang Maniar","","","0","Chris Fant","3","3","06/21/10 06:18 PM","06/28/10 09:04 PM","","Closed (Verified)"
